infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,0241,AT,25 SAN ROMANOWAY,,,FL,3
PARK ON PRIVATE PROPERTY,30,0242,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0242,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0242,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0242,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0242,AT,25 SAN ROMANOWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0242,AT,25 SAN ROMANOWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0243,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0243,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0243,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0243,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0243,AT,25 SAN ROMANOWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0244,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0244,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0244,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0244,AT,25 SAN ROMANOWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0245,,2 BRAHMS AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0245,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0246,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0247,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0247,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0248,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0248,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0248,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0249,AT,21 ICEBOAT TER,,,QC,3
PARK ON PRIVATE PROPERTY,30,0249,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0250,AT,21 ICEBOAT TER,,,NJ,3
PARK ON PRIVATE PROPERTY,30,0250,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0251,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0251,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0252,AT,21 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0255,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0255,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0255,AT,525 WILSON AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0256,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0256,AT,17 ZORRA ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0256,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0256,AT,525 WILSON AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0257,AT,17 ZORRA ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0257,AT,15 ICEBOAT TER,,,QC,3
PARK ON PRIVATE PROPERTY,30,0258,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0258,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0259,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0259,AT,15 ZORRA ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0259,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0300,AT,15 ICEBOAT TER,,,ON,3
PARK ON PRIVATE PROPERTY,30,0303,AT,55 BREMNER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0312,,175 ALEXMUIR BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0314,,195 ALEXMUIR BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0314,AT,35 VIKING LANE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0315,AT,35 VIKING LANE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0316,AT,35 VIKING LANE,,,MA,3
PARK ON PRIVATE PROPERTY,30,0317,AT,35 VIKING LANE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0318,AT,120 HARRISON GARDEN BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0319,AT,120 HARRISON GARDEN BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0319,AT,120 HARRISON GARDEN BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0320,AT,25 FONTENAY CRT,,,ON,3
PARK ON PRIVATE PROPERTY,30,0321,AT,35 VIKING LANE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0327,AT,88 COLGATE AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0328,AT,88 COLGATE AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0329,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0336,AT,85 EMMETT AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0343,AT,1346 DANFORTH RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0343,AT,300 FRONT ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0346,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0347,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0347,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0348,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0351,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0351,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0352,AT,68 ABELL ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0403,AT,135 ANTIBES DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0404,,1095 NEILSON RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0404,AT,135 ANTIBES DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0405,AT,135 ANTIBES DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0406,,1095 NEILSON RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0408,,1095 NEILSON RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0409,AT,5233 DUNDAS ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0410,AT,5233 DUNDAS ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0411,AT,5233 DUNDAS ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0412,,1095 NEILSON RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0413,AT,5233 DUNDAS ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0413,AT,17 BARBERRY PL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0413,AT,160 VANDERHOOF AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0413,AT,160 VANDERHOOF AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0414,AT,17 BARBERRY PL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0414,AT,160 VANDERHOOF AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0415,AT,17 BARBERRY PL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0416,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0416,AT,17 BARBERRY PL,,,AZ,3
PARK ON PRIVATE PROPERTY,30,0417,AT,17 BARBERRY PL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0418,,75 ALFORD CRES,,,ON,3
PARK ON PRIVATE PROPERTY,30,0418,AT,20 BRUYERES MEWS,,,ON,3
PARK ON PRIVATE PROPERTY,30,0419,AT,20 BRUYERES MEWS,,,ON,3
PARK ON PRIVATE PROPERTY,30,0419,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0420,AT,20 BRUYERES MEWS,,,AB,3
PARK ON PRIVATE PROPERTY,30,0420,AT,20 BRUYERES MEWS,,,ON,3
PARK ON PRIVATE PROPERTY,30,0420,AT,19 BATHURST ST,,,SK,3
PARK ON PRIVATE PROPERTY,30,0421,,75 ALFORD CRES,,,ON,3
PARK ON PRIVATE PROPERTY,30,0421,AT,20 BRUYERES MEWS,,,ON,3
PARK ON PRIVATE PROPERTY,30,0421,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0421,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0423,,75 ALFORD CRES,,,ON,3
PARK ON PRIVATE PROPERTY,30,0423,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0424,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0425,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0427,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0427,AT,19 BATHURST ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0436,AT,628 FLEET ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0440,AT,85 SCOTT ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0442,AT,85 SCOTT ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0442,AT,201 CARLAW AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0443,AT,51 EAST LIBERTY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0443,AT,201 CARLAW AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0444,AT,51 EAST LIBERTY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0445,AT,51 EAST LIBERTY ST,,,AB,3
PARK ON PRIVATE PROPERTY,30,0446,AT,51 EAST LIBERTY ST,,,MB,3
PARK ON PRIVATE PROPERTY,30,0447,AT,51 EAST LIBERTY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0447,AT,51 EAST LIBERTY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0448,AT,51 EAST LIBERTY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0448,AT,51 EAST LIBERTY ST,,,MI,3
PARK ON PRIVATE PROPERTY,30,0450,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0452,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0454,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0455,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0456,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0457,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0459,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0500,NR,1277 YORK MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0705,AT,10 YORK ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0706,AT,10 YORK ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0707,AT,10 YORK ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0708,AT,10 YORK ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0733,AT,12 YORK ST,,,QC,3
PARK ON PRIVATE PROPERTY,30,0757,AT,78 HOLLY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0814,AT,140 CHARLES ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0819,AT,56 ANNIE CRAIG DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0820,AT,56 ANNIE CRAIG DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0821,AT,56 ANNIE CRAIG DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0822,AT,56 ANNIE CRAIG DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0824,AT,77 DAVISVILLE AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0915,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0917,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0917,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0920,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0922,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0922,AT,2451 FINCH AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0923,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0925,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0925,AT,2489 FINCH AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0926,AT,2491 FINCH AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0928,AT,16 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0929,AT,650 PARLIAMENT ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0938,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0940,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0941,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0943,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0943,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0944,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0945,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0948,,3 KING'S COLLEGE RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0954,AT,199 ROEHAMPTON AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0956,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0957,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0958,AT,1621 ALBION,,,ON,3
PARK ON PRIVATE PROPERTY,30,0958,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0959,AT,1621 ALBION RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,1005,AT,30 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1008,AT,30 BAY ST,,,MI,3
PARK ON PRIVATE PROPERTY,30,1009,AT,78 HOLLY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1013,AT,78 HOLLY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1014,AT,16 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1015,AT,16 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1015,AT,78 HOLLY ST,,,ON,3
