infraction_description,set_fine_amount,location2
PARK-WITHIN 3M OF FIRE HYDRANT,100,5533 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,106 JOHN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,330 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,5494 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5453 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,18 GRENVILLE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,59 EAST LIBERTY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,52 PRINCESS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,186 A SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,2 ROBERT ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,120 FRONT ST E
PARK-WITHIN 3M OF FIRE HYDRANT,100,34 LITTLE NORWAY CRES
PARK-WITHIN 3M OF FIRE HYDRANT,100,222 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,2207 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,20 BRUYERES MEWS
PARK-WITHIN 3M OF FIRE HYDRANT,100,171 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,164 SUMACH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,264 ROXTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,40 P BALSAM AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,24 AUGUSTA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,1 VENDOME PL
PARK-WITHIN 3M OF FIRE HYDRANT,100,8 VENDOME PL
PARK-WITHIN 3M OF FIRE HYDRANT,100,BUCKINGHAM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,116 GRACE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,358 SHAW ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,42 JANDA CRT
PARK-WITHIN 3M OF FIRE HYDRANT,100,40 ASQUITH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 ANNDALE DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,575 MORTIMER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,DORIS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,1483 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,2009 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 SPRING GARDEN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,46 EAST LIBERTY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,19 PALACE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,22 SOUTH STATION ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,490 FRONT ST E
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 SPRING GARDEN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 DUNFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,32 CAMDEN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,411 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,52 MARY CHAPMAN BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,5100 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1 DUPLEX AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,5645 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5460 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 SPRING GARDEN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,106 JOHN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,560 FRONT ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,316 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,161 DOVERCOURT RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,20 MAUD ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,234 DOVERCOURT RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,3000 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,113 RONCESVALLES AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,THE ESPLANADE
PARK-WITHIN 3M OF FIRE HYDRANT,100,60 HUMBER BLVD
