tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***70397,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,NR,584 INDIAN GRV,,,ON
***32848,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,OPP,6 WHISTLE POST ST,,,ON
***84507,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,NR,150 HIGHBOURNE RD,,,ON
***64122,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0059,NR,59 NORTHERN DANCER BLVD,,,ON
***84508,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0100,NR,164 HIGHBOURNE RD,,,ON
***84509,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0100,NR,164 HIGHBOURNE RD,,,ON
***70398,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0101,OPP,601 INDIAN GRV,,,ON
***64123,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0101,NR,29 NORTHERN DANCER BLVD,,,ON
***54870,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0104,NR,104 BLAKE ST,,,ON
***70400,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0104,OPP,87 HOOK AVE,,,ON
***54871,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,NR,104 BLAKE ST,,,ON
***70401,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,NR,73 HOOK AVE,,,ON
***32849,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,W/S,ENDERBY RD,N/O,SWANWICK AVE,ON
***84510,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,N/S,BURNABY BLVD,W/O,ORIOLE PKWY,ON
***90420,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,NR,29 ST HUBERT AVE,,,ON
***65196,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0106,NR,266 SOUDAN AVE,,,ON
***90421,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0106,NR,31 ST HUBERT AVE,,,ON
***54872,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,70 BLAKE ST,,,ON
***65197,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,266 SOUDAN AVE,,,ON
***65198,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,266 SOUDAN AVE,,,ON
***70402,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,69 HOOK AVE,,,ON
***90422,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,31 ST HUBERT AVE,,,ON
***54873,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0108,NR,70 BLAKE ST,,,ON
***90423,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0108,NR,31 ST HUBERT AVE,,,ON
***25718,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,70 BLAKE ST,,,QC
***65199,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,266 SOUDAN AVE,,,ON
***70403,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,61 HOOK AVE,,,ON
***90424,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,34 ST HUBERT AVE,,,ON
***90425,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,34 ST HUBERT AVE,,,ON
***70404,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0110,NR,51 HOOK AVE,,,ON
***65200,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0111,NR,306 SOUDAN AVE,,,ON
***64124,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0111,NR,99 MOUNTJOY AVE,,,ON
***65201,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0113,OPP,455 SOUDAN AVE,,,ON
***32850,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0113,E/S,SCARBOROUGH RD,S/O,GERRARD ST E,ON
***38176,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,S/S,STRATHCONA AVE,W/O,JONES AVE,ON
***32851,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,E/S,SCARBOROUGH RD,S/O,GERRARD ST E,ON
***84513,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,NR,45 SHIELDS AVE,,,ON
***38177,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0116,N/S,BAIRD AVE,E/O,EARL GREY RD,ON
***88902,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0116,NR,65 SHIELDS AVE,,,ON
***32852,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0118,N/S,SWANWICK AVE,W/O,KINGSWOOD RD,ON
***64125,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0118,NR,57 MONARCH PARK AVE,,,ON
***38178,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0119,NR,35 SEYMOUR AVE,,,ON
***68791,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0119,NR,9 BORDEN ST,,,ON
***32853,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0120,OPP,224 BINGHAM AVE,,,ON
***64126,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0120,NR,43 MONARCH PARK AVE,,,ON
***68792,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0120,NR,12 BORDEN ST,,,ON
***88903,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0122,NR,120 CASTLEWOOD RD,,,ON
***38180,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0124,NR,133 BOULTBEE AVE,,,ON
***65202,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0125,E/S,MARMOT ST,N/O,SOUDAN AVE,ON
***64127,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0125,NR,113 PARKMOUNT RD,,,ON
***38181,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0126,OPP,62 BOULTBEE AVE,,,ON
***32854,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0126,S/S,WOODALE AVE,E/O,SCARBOROUGH RD,ON
***64128,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0127,NR,88 PARKMOUNT RD,,,ON
***88904,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0127,NR,59 HEDDINGTON AVE,,,ON
***65203,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0128,W/S,MARMOT ST,N/O,SOUDAN AVE,ON
***32855,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0128,N/S,WOODALE AVE,E/O,SCARBOROUGH RD,ON
***65204,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0129,W/S,MARMOT ST,N/O,SOUDAN AVE,ON
***68793,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0129,NR,26 BORDEN ST,,,ON
***43444,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0131,NR,326 CARLAW AVE,,,ON
***32856,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0131,N/S,WOODALE AVE,E/O,SCARBOROUGH RD,ON
***43445,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0132,NR,326 CARLAW AVE,,,ON
***32857,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0132,NR,179 BINGHAM AVE,,,ON
***64129,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0132,NR,719 RHODES AVE,,,ON
***43446,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0133,NR,290 CARLAW AVE,,,ON
***65205,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0133,W/S,FORMAN AVE,N/O,SOUDAN AVE,ON
