infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,122 BALDWIN ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,96 BALDWIN ST
PARK PROHIBITED TIME NO PERMIT,30,32 GLEN STEWART CRES
PARK PROHIBITED TIME NO PERMIT,30,86 BALDWIN ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,15 GLEN STEWART CRES
PARK PROHIBITED TIME NO PERMIT,30,10 HENRY ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,7 INDIAN VALLEY CRES
PARK PROHIBITED TIME NO PERMIT,30,41 HENRY ST
PARK PROHIBITED TIME NO PERMIT,30,41 HENRY ST
PARK PROHIBITED TIME NO PERMIT,30,66 HENRY ST
PARK PROHIBITED TIME NO PERMIT,30,7 B CECIL ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,7 B CECIL ST
PARK PROHIBITED TIME NO PERMIT,30,5 ROSS ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,37 CECIL ST
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,DOVERCOURT RD
PARK PROHIBITED TIME NO PERMIT,30,531 WINONA DR
STAND VEH.-PROHIBIT TIME/DAY,100,1 FRONT ST W
PARK PROHIBITED TIME NO PERMIT,30,51 FLORENCE ST
PARK PROHIBITED TIME NO PERMIT,30,48 BISHOP TUTU BLVD
PARK PROHIBITED TIME NO PERMIT,30,123 BROCK AVE
PARK PROHIBITED TIME NO PERMIT,30,34 LITTLE NORWAY CRES
PARK PROHIBITED TIME NO PERMIT,30,28 MIDDLETON ST
PARK PROHIBITED TIME NO PERMIT,30,34 L LITTLE NORWAY CRES
PARK PROHIBITED TIME NO PERMIT,30,1 MIDDLETON ST
PARK PROHIBITED TIME NO PERMIT,30,34 L LITTLE NORWAY CRES
PARK PROHIBITED TIME NO PERMIT,30,35 SHERIDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,29 SHERIDAN AVE
STAND VEH.-PROHIBIT TIME/DAY,100,111 VICTORIA ST
PARK PROHIBITED TIME NO PERMIT,30,65 SHERIDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,79 SHERIDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,109 SHERIDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,6 L FORT ROUILLE ST
PARK PROHIBITED TIME NO PERMIT,30,2 MARSHALL ST
PARK PROHIBITED TIME NO PERMIT,30,24 MARSHALL ST
PARK PROHIBITED TIME NO PERMIT,30,135 L TYNDALL AVE
PARK PROHIBITED TIME NO PERMIT,30,135 L TYNDALL AVE
STAND VEH.-PROHIBIT TIME/DAY,100,ELIZABETH ST
PARK PROHIBITED TIME NO PERMIT,30,135 L TYNDALL AVE
PARK PROHIBITED TIME NO PERMIT,30,3 SHIRLEY ST
PARK PROHIBITED TIME NO PERMIT,30,135 L TYNDALL AVE
PARK PROHIBITED TIME NO PERMIT,30,11 SHIRLEY ST
PARK PROHIBITED TIME NO PERMIT,30,6 L WEST LODGE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,270 GLADSTONE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,270 GLADSTONE AVE
PARK PROHIBITED TIME NO PERMIT,30,16 COLLAHIE ST
PARK PROHIBITED TIME NO PERMIT,30,177 BEACONSFIELD AVE
STAND VEH.-PROHIBIT TIME/DAY,100,25 JOE SHUSTER WAY
PARK PROHIBITED TIME NO PERMIT,30,17 ROSE PARK CRES
PARK PROHIBITED TIME NO PERMIT,30,66 L DENISON AVE
PARK PROHIBITED TIME NO PERMIT,30,27 FAIRVIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,47 FAIRVIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
STAND VEH.-PROHIBIT TIME/DAY,100,50 LOMBARD ST
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,734 HURON ST
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,730 HURON ST
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,HURON ST
PARK PROHIBITED TIME NO PERMIT,30,71 CRAWFORD ST
PARK PROHIBITED TIME NO PERMIT,30,133 MADISON AVE
PARK PROHIBITED TIME NO PERMIT,30,36 DURANT AVE
PARK PROHIBITED TIME NO PERMIT,30,131 MADISON AVE
PARK PROHIBITED TIME NO PERMIT,30,57 CRAWFORD ST
PARK PROHIBITED TIME NO PERMIT,30,35 BRIDGMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,125 MADISON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,22 JOE SHUSTER WAY
PARK PROHIBITED TIME NO PERMIT,30,51 MADISON AVE
PARK PROHIBITED TIME NO PERMIT,30,JOE SHUSTER WAY
PARK PROHIBITED TIME NO PERMIT,30,PELHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,34 RATHNELLY AVE
PARK PROHIBITED TIME NO PERMIT,30,PELHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,233 STERLING RD
PARK PROHIBITED TIME NO PERMIT,30,PELHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,PELHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,DAVENPORT RD
PARK PROHIBITED TIME NO PERMIT,30,10 PARKDALE RD
PARK PROHIBITED TIME NO PERMIT,30,196 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,124 MILLER ST
PARK PROHIBITED TIME NO PERMIT,30,576 HURON ST
PARK PROHIBITED TIME NO PERMIT,30,85 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,45 NORTHCOTE AVE
PARK PROHIBITED TIME NO PERMIT,30,29 MC MASTER AVE
PARK PROHIBITED TIME NO PERMIT,30,34 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,32 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,1 NORTHCOTE AVE
PARK PROHIBITED TIME NO PERMIT,30,142 MULOCK AVE
PARK PROHIBITED TIME NO PERMIT,30,74 BOUSTEAD AVE
PARK PROHIBITED TIME NO PERMIT,30,12 MC MASTER AVE
PARK PROHIBITED TIME NO PERMIT,30,800 ADELAIDE ST W
PARK PROHIBITED TIME NO PERMIT,30,12 MC MASTER AVE
