infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,***65193,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0052,S/S,SHERWOOD AVE,E/O,YONGE ST,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***49878,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0053,NR,36 MANCHESTER AVE,,,ON,36 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,***84505,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0053,NR,99 HILLSDALE AVE W,,,ON,99 HILLSDALE AVE W
PARK PROHIBITED TIME NO PERMIT,***65194,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,S/S,SHERWOOD AVE,E/O,YONGE ST,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***32846,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,NR,67 WHISTLE POST ST,,,ON,67 WHISTLE POST ST
PARK PROHIBITED TIME NO PERMIT,***65195,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,S/S,SHERWOOD AVE,E/O,YONGE ST,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***32847,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,NR,67 WHISTLE POST ST,,,ON,67 WHISTLE POST ST
PARK PROHIBITED TIME NO PERMIT,***64763,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,572 INDIAN GRV,,,ON,572 INDIAN GRV
PARK PROHIBITED TIME NO PERMIT,***64121,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,83 NORTHERN DANCER BLVD,,,ON,83 NORTHERN DANCER BLVD
PARK PROHIBITED TIME NO PERMIT,***84506,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,150 HIGHBOURNE RD,,,ON,150 HIGHBOURNE RD
PARK PROHIBITED TIME NO PERMIT,***70397,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,NR,584 INDIAN GRV,,,ON,584 INDIAN GRV
PARK PROHIBITED TIME NO PERMIT,***32848,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,OPP,6 WHISTLE POST ST,,,ON,6 WHISTLE POST ST
